"","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Purchase"
"197","M","26-35","17","B","0","0",655477
"2993","F","26-35","0","B","4+","0",521209
"58","F","0-17","10","A","0","0",872150
"1102","M","36-45","0","C","1","0",667709
"1727","M","36-45","11","A","2","0",305199
"3933","M","18-25","2","B","1","1",1672095
"966","M","26-35","14","B","1","0",99191
"1574","M","26-35","17","C","1","0",209920
"2429","F","26-35","0","B","3","0",387915
"5114","M","36-45","20","C","2","1",148803
"1491","M","26-35","14","C","1","0",251722
"2410","M","51-55","17","A","3","0",587582
"601","F","0-17","10","A","1","0",153351
"1193","F","18-25","4","C","1","0",932112
"2083","M","18-25","4","C","2","0",1253168
"4898","M","46-50","1","C","2","1",610714
"1813","F","36-45","3","B","2","0",145843
"1339","M","46-50","7","C","1","0",161466
"3387","M","36-45","17","C","4+","0",335223
"3259","M","18-25","4","C","4+","0",270142
"91","F","18-25","0","B","0","0",400376
"1094","M","36-45","0","C","1","0",248419
"3774","F","46-50","3","A","1","1",132729
"3187","F","36-45","1","C","4+","0",116586
"2807","M","18-25","15","C","3","0",155583
"2486","M","18-25","4","B","3","0",725836
"3478","F","18-25","0","B","0","1",1399436
"1349","M","51-55","7","C","1","0",436678
"2928","M","18-25","4","A","4+","0",493095
"5","M","26-35","0","A","0","0",3977702
"4869","M","46-50","0","C","2","1",218700
"2660","M","18-25","4","C","3","0",1789444
"3940","M","36-45","2","B","1","1",3498404
"4902","F","55+","1","C","2","1",102199
"2078","M","18-25","4","C","2","0",441506
"4744","M","18-25","4","B","2","1",1605959
"3012","M","36-45","1","B","4+","0",86732
"5376","M","26-35","4","C","3","1",491903
"1031","M","26-35","20","B","1","0",2274024
"5566","M","55+","13","A","4+","1",142083
"3677","F","55+","13","C","0","1",627107
"426","F","26-35","17","C","0","0",147295
"483","M","36-45","0","A","1","0",213313
"3498","M","26-35","2","B","0","1",511488
"2365","M","26-35","7","A","3","0",1016365
"3241","M","18-25","4","C","4+","0",1312879
"5359","M","26-35","3","C","3","1",164594
"2758","M","0-17","10","C","3","0",647702
"4698","F","26-35","0","B","2","1",130596
"2024","M","26-35","2","C","2","0",513298
"274","M","36-45","2","C","0","0",164141
"81","M","26-35","17","A","0","0",584957
"3350","M","55+","13","C","4+","0",513872
"1502","M","46-50","14","C","1","0",165123
"4056","M","26-35","14","B","1","1",794561
"5081","M","26-35","17","C","2","1",1288730
"4566","M","46-50","16","C","1","1",1449260
"2316","F","26-35","1","A","3","0",1632027
"3240","M","18-25","4","C","4+","0",486957
"5567","M","55+","15","A","4+","1",300165
"5430","F","46-50","9","C","3","1",127429
"5493","M","46-50","16","C","3","1",507309
"2898","M","36-45","1","A","4+","0",103399
"4851","F","26-35","0","C","2","1",329130
"1981","M","36-45","0","C","2","0",478633
"5652","F","26-35","15","B","4+","1",3821666
"2124","M","26-35","7","C","2","0",853780
"1963","M","26-35","0","C","2","0",58136
"456","M","0-17","19","C","0","0",955458
"3238","M","18-25","4","C","4+","0",1271630
"1423","M","18-25","12","C","1","0",839707
"4322","M","26-35","6","C","1","1",595136
"4195","F","46-50","1","C","1","1",563380
"3490","F","26-35","1","B","0","1",1298399
"174","M","26-35","12","B","0","0",1087744
"559","M","26-35","6","A","1","0",688981
"3300","M","55+","7","C","4+","0",444209
"5182","M","18-25","19","A","3","1",253986
"516","M","26-35","3","A","1","0",627470
"5863","M","26-35","17","C","4+","1",322151
"4507","M","26-35","14","C","1","1",533461
"1657","F","26-35","1","A","2","0",2811586
"4166","M","46-50","0","C","1","1",64520
"4090","M","36-45","17","B","1","1",2023912
"3329","M","36-45","11","C","4+","0",294768
"2553","M","36-45","14","B","3","0",1620889
"698","F","26-35","0","B","1","0",1173774
"1078","M","26-35","0","C","1","0",931407
"4786","M","18-25","10","B","2","1",1709835
"2487","M","18-25","4","B","3","0",705601
"4424","F","51-55","9","C","1","1",595068
"2165","F","0-17","10","C","2","0",85421
"348","M","36-45","7","C","0","0",892950
"1019","F","18-25","20","B","1","0",353868
"2990","F","26-35","0","B","4+","0",631994
"1306","M","26-35","7","C","1","0",228138
"3914","M","26-35","1","B","1","1",1319887
"4018","M","46-50","8","B","1","1",5327346
"845","M","18-25","6","B","1","0",1898075
"4638","F","51-55","20","C","1","1",118924
"4738","F","18-25","4","B","2","1",148626
"3317","M","0-17","10","C","4+","0",878647
"715","M","26-35","0","B","1","0",195517
"5694","M","36-45","0","C","4+","1",656066
"3129","F","18-25","19","B","4+","0",1700344
"2480","F","18-25","4","B","3","0",506711
"3269","M","26-35","6","C","4+","0",727474
"763","F","26-35","3","B","1","0",442325
"3711","M","46-50","17","C","0","1",198320
"3094","M","26-35","12","B","4+","0",775255
"1080","M","26-35","0","C","1","0",1975078
"5887","M","18-25","20","C","4+","1",113860
"802","M","18-25","4","B","1","0",636113
"1443","M","26-35","12","C","1","0",290045
"1755","M","18-25","19","A","2","0",140421
"4284","M","18-25","4","C","1","1",273334
"3209","M","26-35","2","C","4+","0",726660
"3948","M","51-55","2","B","1","1",1207396
"656","F","26-35","17","A","1","0",841694
"3561","M","18-25","0","C","0","1",817887
"2286","M","18-25","19","C","2","0",312571
"2511","M","26-35","7","B","3","0",4167960
"5117","F","46-50","20","C","2","1",1194312
"2530","M","26-35","11","B","3","0",1790462
"1846","M","26-35","4","B","2","0",3480643
"2259","M","26-35","17","C","2","0",669896
"3589","F","26-35","1","C","0","1",232213
"588","M","36-45","7","A","1","0",403459
"296","M","18-25","4","C","0","0",987626
"1775","M","26-35","0","B","2","0",794183
"3066","F","26-35","7","B","4+","0",304401
"3939","M","36-45","2","B","1","1",4131119
"1375","F","0-17","10","C","1","0",130541
"4366","M","36-45","7","C","1","1",1180229
"3022","M","26-35","3","B","4+","0",501248
"2507","F","26-35","7","B","3","0",484746
"192","M","18-25","17","B","0","0",1667633
"3540","M","26-35","12","B","0","1",321802
"5640","M","26-35","12","B","4+","1",3629674
"3035","M","18-25","4","B","4+","0",516147
"1242","M","18-25","4","C","1","0",692759
"4904","M","55+","1","C","2","1",364093
"931","M","18-25","12","B","1","0",264042
"4290","F","26-35","4","C","1","1",1368452
"3495","M","55+","1","B","0","1",873346
"5419","M","51-55","7","C","3","1",252319
"5476","M","55+","14","C","3","1",832732
"1952","F","18-25","0","C","2","0",570717
"2591","M","18-25","0","C","3","0",1181748
"5779","F","51-55","7","C","4+","1",392734
"4515","M","26-35","14","C","1","1",588249
"2311","M","36-45","0","A","3","0",596079
"5145","F","18-25","4","A","3","1",92888
"4023","M","26-35","11","B","1","1",925384
"4100","M","51-55","17","B","1","1",726058
"32","M","18-25","4","A","0","0",1563502
"5306","M","55+","20","B","3","1",1530704
"3860","F","55+","16","A","1","1",508869
"1327","M","36-45","7","C","1","0",1713367
"5273","M","26-35","15","B","3","1",542822
"4952","F","46-50","6","C","2","1",450718
"2271","M","36-45","17","C","2","0",1058708
"2666","M","18-25","4","C","3","0",716372
"4135","F","26-35","0","C","1","1",782702
"4934","M","26-35","4","C","2","1",104679
"3145","M","0-17","0","C","4+","0",162192
"3433","M","26-35","1","A","0","1",816456
"1025","M","26-35","20","B","1","0",861958
"3301","M","0-17","8","C","4+","0",304090
"5601","F","36-45","3","B","4+","1",276763
"1552","M","18-25","17","C","1","0",222677
"1313","M","26-35","7","C","1","0",428201
"2241","F","26-35","16","C","2","0",882389
"4650","F","18-25","2","A","2","1",2523649
"1927","F","26-35","17","B","2","0",583719
"584","M","26-35","7","A","1","0",1191667
"5345","M","51-55","1","C","3","1",363095
"4382","F","46-50","7","C","1","1",359211
"134","M","18-25","4","B","0","0",89900
"198","M","26-35","17","B","0","0",243493
"3544","F","26-35","14","B","0","1",986284
"2972","M","26-35","17","A","4+","0",886077
"2141","M","36-45","7","C","2","0",195218
"5407","M","36-45","7","C","3","1",191003
"3212","M","26-35","2","C","4+","0",718179
"5004","F","36-45","9","C","2","1",184805
"690","M","18-25","0","B","1","0",1207773
"720","M","51-55","0","B","1","0",3048629
"4862","M","36-45","0","C","2","1",2179676
"2560","M","18-25","16","B","3","0",1956777
"3315","M","0-17","10","C","4+","0",607306
"1415","M","36-45","11","C","1","0",613832
"1685","F","18-25","4","A","2","0",701631
"2569","M","26-35","17","B","3","0",3035882
"2835","M","26-35","17","C","3","0",1208992
"3052","M","26-35","4","B","4+","0",330615
"943","M","26-35","12","B","1","0",1208289
"2230","F","26-35","15","C","2","0",308872
"2430","F","26-35","0","B","3","0",349513
"5536","F","18-25","2","A","4+","1",1407821
"2464","M","26-35","2","B","3","0",1065108
"1359","F","26-35","9","C","1","0",153085
"1270","M","26-35","5","C","1","0",428084
"1286","M","36-45","6","C","1","0",275770
"1518","M","18-25","16","C","1","0",598446
"3357","F","36-45","14","C","4+","0",164436
"2415","F","46-50","20","A","3","0",234934
"3372","M","18-25","17","C","4+","0",1214773
"3074","M","36-45","7","B","4+","0",2898136
"2253","M","0-17","17","C","2","0",255532
"4713","M","55+","0","B","2","1",568655
"4074","M","26-35","16","B","1","1",398784
"3131","M","18-25","20","B","4+","0",175809
"3527","M","36-45","7","B","0","1",418845
"469","M","18-25","0","A","1","0",2852051
"5598","M","26-35","2","B","4+","1",2109831
"2134","M","36-45","7","C","2","0",1001295
"4227","F","26-35","2","C","1","1",1863744
"5097","F","26-35","18","C","2","1",476319
"3333","M","18-25","12","C","4+","0",758556
"5346","M","55+","1","C","3","1",339119
"1736","F","26-35","14","A","2","0",1802590
"1947","M","36-45","20","B","2","0",667889
"3748","M","26-35","1","A","1","1",3237937
"2449","F","36-45","1","B","3","0",328944
"4880","F","26-35","1","C","2","1",163598
"2848","M","36-45","17","C","3","0",383206
"2742","M","51-55","7","C","3","0",241188
"1165","M","18-25","2","C","1","0",86790
"1137","F","36-45","1","C","1","0",997082
"749","F","26-35","2","B","1","0",536482
"3921","F","46-50","1","B","1","1",660777
"603","M","0-17","10","A","1","0",545383
"4595","M","36-45","17","C","1","1",1110185
"3260","F","26-35","4","C","4+","0",206856
"1951","F","0-17","0","C","2","0",368872
"866","M","26-35","7","B","1","0",1835898
"1635","M","55+","20","C","1","0",188419
"5592","F","36-45","1","B","4+","1",2169486
"5205","M","18-25","1","B","3","1",698095
"4079","M","18-25","17","B","1","1",426539
"4435","M","26-35","11","C","1","1",527512
"2226","M","46-50","14","C","2","0",387927
"1917","M","36-45","15","B","2","0",3413646
"189","M","26-35","16","B","0","0",219427
"1747","M","26-35","17","A","2","0",469455
"302","M","18-25","4","C","0","0",205135
"3946","F","51-55","2","B","1","1",509523
"3828","M","26-35","12","A","1","1",2515703
"2388","M","18-25","14","A","3","0",143289
"427","M","26-35","17","C","0","0",593960
"2503","M","26-35","6","B","3","0",1087368
"3450","F","26-35","7","A","0","1",1205659
"2273","M","36-45","17","C","2","0",1595982
"5865","F","36-45","17","C","4+","1",387702
"556","F","18-25","6","A","1","0",279674
"4008","M","36-45","7","B","1","1",192179
"945","F","36-45","12","B","1","0",134073
"2750","F","0-17","10","C","3","0",92972
"5653","M","26-35","15","B","4+","1",214815
"4687","M","26-35","16","A","2","1",402353
"94","F","26-35","0","B","0","0",44432
"1508","M","26-35","15","C","1","0",305952
"1939","M","36-45","17","B","2","0",337409
"4801","M","46-50","12","B","2","1",5157614
"3524","M","36-45","7","B","0","1",1225932
"680","F","0-17","0","B","1","0",3653257
"4923","M","46-50","3","C","2","1",890922
"3730","M","26-35","0","A","1","1",1161241
"3149","M","18-25","0","C","4+","0",1200295
"899","F","36-45","9","B","1","0",1425582
"2093","M","26-35","4","C","2","0",902378
"3171","M","26-35","0","C","4+","0",613586
"4784","F","46-50","9","B","2","1",984958
"3740","M","36-45","0","A","1","1",813839
"3186","F","36-45","1","C","4+","0",382811
"1634","M","46-50","20","C","1","0",965847
"4660","M","18-25","4","A","2","1",1032411
"1064","M","26-35","0","C","1","0",2039973
"1032","F","36-45","20","B","1","0",728816
"753","M","26-35","2","B","1","0",1548127
"1531","M","36-45","16","C","1","0",112574
"4066","M","26-35","15","B","1","1",886927
"3136","M","26-35","20","B","4+","0",636278
"195","M","26-35","17","B","0","0",2677909
"2619","F","26-35","1","C","3","0",926272
"1024","M","26-35","20","B","1","0",2016901
"3002","F","55+","0","B","4+","0",1356409
"4257","F","46-50","3","C","1","1",1216519
"3863","M","26-35","17","A","1","1",969229
"4692","M","55+","17","A","2","1",540534
"211","M","26-35","20","B","0","0",375146
"4153","M","36-45","0","C","1","1",1455520
"4212","M","51-55","1","C","1","1",279980
"5821","M","55+","13","C","4+","1",54413
"5135","F","55+","1","A","3","1",84882
"1721","M","55+","7","A","2","0",239233
"2155","M","55+","7","C","2","0",861174
"1150","F","46-50","1","C","1","0",112381
"117","M","36-45","2","B","0","0",3032876
"4331","F","46-50","6","C","1","1",119506
"447","M","46-50","17","C","0","0",939309
"3251","M","18-25","4","C","4+","0",516037
"401","F","55+","13","C","0","0",201055
"1346","F","51-55","7","C","1","0",387544
"462","F","26-35","20","C","0","0",230680
"1906","M","26-35","14","B","2","0",1172867
"1757","M","26-35","20","A","2","0",5129726
"1037","M","36-45","20","B","1","0",487323
"3694","M","36-45","16","C","0","1",1464947
"4426","F","51-55","9","C","1","1",165024
"1126","F","26-35","1","C","1","0",1190646
"2065","M","18-25","4","C","2","0",103124
"2814","M","26-35","16","C","3","0",1158129
"1265","M","26-35","5","C","1","0",139605
"3461","F","26-35","14","A","0","1",1230694
"1079","M","26-35","0","C","1","0",156503
"4980","M","36-45","7","C","2","1",124611
"2893","M","18-25","1","A","4+","0",1456618
"4561","F","46-50","16","C","1","1",353238
"2529","M","18-25","10","B","3","0",442237
"149","M","36-45","6","B","0","0",2860008
"3522","F","36-45","7","B","0","1",898108
"2718","M","26-35","7","C","3","0",277010
"1946","M","36-45","20","B","2","0",575402
"2863","M","18-25","19","C","3","0",152183
"1773","M","26-35","0","B","2","0",4063822
"1099","M","36-45","0","C","1","0",349885
"5713","M","36-45","1","C","4+","1",335239
"250","F","26-35","1","C","0","0",212430
"157","F","51-55","7","B","0","0",1188497
"3879","M","36-45","20","A","1","1",171053
"3237","M","18-25","4","C","4+","0",534215
"3831","M","46-50","12","A","1","1",1584561
"2947","M","26-35","7","A","4+","0",666965
"4663","M","26-35","4","A","2","1",3243952
"4729","M","26-35","2","B","2","1",105604
"5069","M","55+","16","C","2","1",378958
"3464","M","26-35","16","A","0","1",1566476
"5492","M","46-50","16","C","3","1",155546
"2079","M","18-25","4","C","2","0",108805
"842","M","36-45","5","B","1","0",2201595
"4550","F","55+","15","C","1","1",195199
"319","F","51-55","4","C","0","0",418199
"5679","M","18-25","0","C","4+","1",85280
"5731","F","26-35","3","C","4+","1",319854
"4616","M","26-35","18","C","1","1",162640
"3324","M","18-25","10","C","4+","0",848930
"2114","M","26-35","7","C","2","0",441432
"4109","F","26-35","20","B","1","1",1139390
"4844","M","26-35","20","B","2","1",960566
"974","F","26-35","15","B","1","0",1377674
"1640","M","18-25","0","A","2","0",3618431
"2930","M","18-25","4","A","4+","0",335351
"4761","M","36-45","6","B","2","1",3184059
"5741","M","18-25","4","C","4+","1",997200
"3618","M","55+","3","C","0","1",1039805
"132","M","18-25","4","B","0","0",3384070
"1117","F","18-25","1","C","1","0",124124
"1521","M","18-25","16","C","1","0",696118
"5891","M","46-50","20","C","4+","1",276530
"4061","M","46-50","14","B","1","1",819493
"5554","M","36-45","7","A","4+","1",499883
"3341","M","26-35","12","C","4+","0",587939
"2820","M","18-25","17","C","3","0",383334
"1834","M","18-25","4","B","2","0",1262420
"2240","M","51-55","15","C","2","0",533324
"1835","M","18-25","4","B","2","0",507475
"4396","F","51-55","7","C","1","1",547544
"3041","M","18-25","4","B","4+","0",245938
"76","M","26-35","15","A","0","0",1031456
"2886","M","26-35","0","A","4+","0",401671
"5275","M","46-50","15","B","3","1",216983
"2501","F","26-35","6","B","3","0",1106516
"3575","F","46-50","0","C","0","1",109850
"323","M","18-25","5","C","0","0",157107
"2795","F","26-35","14","C","3","0",157649
"719","M","36-45","0","B","1","0",399218
"2970","M","26-35","17","A","4+","0",1251668
"4674","M","26-35","12","A","2","1",412700
"2250","M","51-55","16","C","2","0",226673
"2793","M","18-25","14","C","3","0",587686
"1039","F","0-17","0","C","1","0",877653
"5084","M","36-45","17","C","2","1",700731
"1190","F","18-25","4","C","1","0",271183
"4088","M","26-35","17","B","1","1",1126874
"286","F","18-25","4","C","0","0",803205
"1177","M","18-25","3","C","1","0",61580
"4715","M","18-25","1","B","2","1",126030
"1222","M","18-25","4","C","1","0",89069
"5681","F","26-35","0","C","4+","1",456890
"772","F","18-25","4","B","1","0",1733436
"3243","M","18-25","4","C","4+","0",448791
"1815","F","18-25","4","B","2","0",2877592
"967","F","36-45","14","B","1","0",559717
"3743","F","51-55","0","A","1","1",207256
"5669","M","26-35","19","B","4+","1",2179541
"1688","M","18-25","4","A","2","0",1891268
"996","M","26-35","17","B","1","0",169710
"2491","M","18-25","4","B","3","0",1042280
"1955","M","18-25","0","C","2","0",128535
"3562","M","18-25","0","C","0","1",121287
"2092","M","26-35","4","C","2","0",183255
"4585","M","26-35","17","C","1","1",1309352
"2319","M","26-35","1","A","3","0",1167349
"4557","F","36-45","16","C","1","1",587545
"3804","F","26-35","7","A","1","1",3679066
"3217","F","46-50","2","C","4+","0",453104
"1108","F","46-50","0","C","1","0",1191144
"3607","M","55+","1","C","0","1",136825
"1905","M","18-25","14","B","2","0",2954684
"242","F","51-55","0","C","0","0",574958
"1373","F","0-17","10","C","1","0",375999
"3632","M","36-45","6","C","0","1",109381
"2265","M","36-45","17","C","2","0",259191
"2736","M","36-45","7","C","3","0",783286
"4753","M","26-35","4","B","2","1",1876461
"42","F","26-35","4","A","0","0",2342911
"2720","M","26-35","7","C","3","0",464311
"4457","F","36-45","12","C","1","1",647531
"2723","M","26-35","7","C","3","0",139926
"257","M","26-35","1","C","0","0",778410
"2183","M","0-17","10","C","2","0",606784
"4483","F","55+","13","C","1","1",277011
"1205","F","18-25","4","C","1","0",405458
"3039","M","18-25","4","B","4+","0",1003102
"4723","M","46-50","1","B","2","1",1187377
"691","M","18-25","0","B","1","0",2482046
"4936","M","26-35","4","C","2","1",1247773
"5518","M","26-35","20","C","3","1",255214
"1663","M","55+","1","A","2","0",112730
"3580","M","46-50","0","C","0","1",1049169
"168","M","18-25","12","B","0","0",561907
"5806","M","36-45","12","C","4+","1",150866
"5649","M","26-35","14","B","4+","1",144427
"2571","M","26-35","17","B","3","0",731236
"2585","M","26-35","20","B","3","0",374651
"1673","M","26-35","3","A","2","0",1076764
"3056","M","18-25","6","B","4+","0",2548842
"3923","F","46-50","1","B","1","1",631138
"4882","M","26-35","1","C","2","1",341818
"2887","M","26-35","0","A","4+","0",48968
"2066","M","18-25","4","C","2","0",248935
"4087","M","26-35","17","B","1","1",1168125
"4261","F","51-55","3","C","1","1",98394
"3556","F","18-25","20","B","0","1",1391978
"3304","F","26-35","9","C","4+","0",312740
"1694","M","18-25","4","A","2","0",2405286
"1186","M","36-45","3","C","1","0",241389
"4448","M","26-35","12","C","1","1",322099
"660","M","26-35","17","A","1","0",745841
"2176","M","0-17","10","C","2","0",125673
"1996","M","26-35","1","C","2","0",314411
"2447","M","26-35","1","B","3","0",2125649
"3608","M","55+","1","C","0","1",322262
"2037","F","51-55","3","C","2","0",171875
"182","M","26-35","14","B","0","0",2660408
"2335","F","18-25","4","A","3","0",1533937
"745","M","55+","1","B","1","0",973559
"4647","M","36-45","1","A","2","1",430535
"3205","M","18-25","2","C","4+","0",675478
"5027","F","55+","13","C","2","1",106517
"246","M","18-25","1","C","0","0",826764
"3265","M","36-45","5","C","4+","0",342195
"3261","M","26-35","4","C","4+","0",206848
"4894","F","46-50","1","C","2","1",436599
"879","M","36-45","7","B","1","0",1039242
"4805","M","51-55","13","B","2","1",783178
"3771","F","26-35","3","A","1","1",371232
"3170","M","26-35","0","C","4+","0",520203
"5155","F","51-55","6","A","3","1",652645
"488","M","18-25","1","A","1","0",312200
"5884","M","18-25","19","C","4+","1",206317
"1739","M","36-45","14","A","2","0",2957948
"773","F","18-25","4","B","1","0",1143370
"3960","F","18-25","4","B","1","1",3415154
"5166","F","46-50","12","A","3","1",170426
"4226","F","26-35","2","C","1","1",209499
"417","M","26-35","15","C","0","0",1209364
"2314","M","55+","0","A","3","0",324718
"4795","M","26-35","12","B","2","1",554605
"3391","M","36-45","17","C","4+","0",398473
"4778","M","46-50","7","B","2","1",2759310
"4544","F","46-50","15","C","1","1",382847
"571","M","26-35","7","A","1","0",543253
"591","M","36-45","7","A","1","0",248568
"1931","M","26-35","17","B","2","0",528563
"2728","M","36-45","7","C","3","0",84567
"4225","M","18-25","2","C","1","1",1688427
"3106","M","26-35","15","B","4+","0",248068
"353","F","46-50","7","C","0","0",216140
"79","M","36-45","16","A","0","0",10536783
"2806","M","55+","14","C","3","0",87909
"896","F","26-35","9","B","1","0",255812
"1878","F","0-17","10","B","2","0",1941478
"4646","M","26-35","1","A","2","1",5985405
"5401","M","26-35","7","C","3","1",149430
"2609","M","46-50","0","C","3","0",407060
"3967","M","18-25","4","B","1","1",356188
"1333","M","36-45","7","C","1","0",180269
"3603","M","46-50","1","C","0","1",479224
"3931","M","51-55","1","B","1","1",131293
"2167","F","0-17","10","C","2","0",943153
"1431","M","26-35","12","C","1","0",653629
"2212","F","46-50","12","C","2","0",513447
"3861","M","55+","16","A","1","1",1532576
"4045","F","51-55","13","B","1","1",1205262
"5235","F","26-35","7","B","3","1",322120
"5714","F","46-50","1","C","4+","1",133191
"619","M","18-25","12","A","1","0",141642
"5100","M","26-35","18","C","2","1",810594
"2587","F","36-45","20","B","3","0",2780553
"2706","F","55+","6","C","3","0",129914
"3652","F","46-50","7","C","0","1",79485
"131","M","18-25","4","B","0","0",132438
"993","M","26-35","17","B","1","0",2157012
"2775","M","26-35","12","C","3","0",120872
"2150","M","46-50","7","C","2","0",242779
"1618","M","18-25","20","C","1","0",1008472
"407","M","26-35","14","C","0","0",94270
"5256","M","18-25","12","B","3","1",1031113
"121","M","26-35","3","B","0","0",2316532
"3935","M","26-35","2","B","1","1",1903865
"1734","M","36-45","12","A","2","0",127321
"1651","F","18-25","1","A","2","0",1097772
"439","M","36-45","17","C","0","0",545397
"2178","M","0-17","10","C","2","0",556843
"146","M","46-50","5","B","0","0",2513668
"1495","F","36-45","14","C","1","0",768617
"1124","F","26-35","1","C","1","0",276744
"29","M","18-25","4","A","0","0",4355777
"2627","M","36-45","1","C","3","0",911951
"1699","M","26-35","4","A","2","0",880030
"4924","F","51-55","3","C","2","1",632359
"497","F","36-45","1","A","1","0",4006176
"3246","M","18-25","4","C","4+","0",741948
"1920","M","26-35","16","B","2","0",95821
"5882","M","26-35","18","C","4+","1",588712
"4968","M","26-35","7","C","2","1",338735
"938","M","26-35","12","B","1","0",755153
"622","M","26-35","12","A","1","0",1028791
"282","M","36-45","3","C","0","0",477088
"5092","M","46-50","17","C","2","1",1540794
"1682","F","18-25","4","A","2","0",2335193
"3887","M","26-35","0","B","1","1",928115
"1276","F","26-35","6","C","1","0",151384
"4242","F","26-35","3","C","1","1",1263014
"5442","M","26-35","12","C","3","1",261951
"3920","M","36-45","1","B","1","1",932469
"196","M","26-35","17","B","0","0",829259
"2599","M","26-35","0","C","3","0",326406
"5370","M","18-25","4","C","3","1",1520789
"3857","M","51-55","16","A","1","1",2014368
"2755","M","0-17","10","C","3","0",615705
"90","F","18-25","0","B","0","0",407413
"3343","F","36-45","12","C","4+","0",1371484
"5034","M","55+","13","C","2","1",150925
"1433","M","26-35","12","C","1","0",1602846
"3294","M","36-45","7","C","4+","0",1902955
"5264","M","36-45","12","B","3","1",1817004
"143","M","26-35","4","B","0","0",412018
"3789","M","26-35","4","A","1","1",508443
"1658","M","26-35","1","A","2","0",2258438
"3436","M","26-35","2","A","0","1",3699995
"3248","M","18-25","4","C","4+","0",137572
"2615","F","26-35","1","C","3","0",241377
"2145","M","36-45","7","C","2","0",913035
"4838","M","46-50","17","B","2","1",2205636
"4486","F","55+","13","C","1","1",142209
"3164","M","26-35","0","C","4+","0",243425
"2548","F","26-35","14","B","3","0",1882205
"5382","M","51-55","5","C","3","1",799254
"4609","M","51-55","17","C","1","1",1139632
"2457","M","18-25","2","B","3","0",210770
"1667","M","26-35","2","A","2","0",171526
"5421","M","55+","7","C","3","1",1057525
"2997","M","26-35","0","B","4+","0",897357
"2572","M","26-35","17","B","3","0",332672
"5878","M","51-55","17","C","4+","1",259633
"1831","M","18-25","4","B","2","0",625031
"2729","M","36-45","7","C","3","0",120376
"5356","F","46-50","2","C","3","1",193139
"2156","M","55+","7","C","2","0",219835
"4183","F","26-35","1","C","1","1",130969
"5627","M","36-45","7","B","4+","1",846073
"2001","M","36-45","1","C","2","0",300643
"3086","M","26-35","11","B","4+","0",713598
"1351","M","55+","7","C","1","0",794500
"1467","M","55+","13","C","1","0",1310621
"241","M","46-50","0","C","0","0",133340
"4232","M","26-35","2","C","1","1",263829
"2246","F","36-45","16","C","2","0",172207
"61","M","18-25","10","A","0","0",729491
"5203","M","55+","0","B","3","1",831368
"4028","M","51-55","11","B","1","1",2193911
"5513","M","51-55","18","C","3","1",676472
"2404","M","26-35","17","A","3","0",6573609
"4543","F","46-50","15","C","1","1",1192284
"4856","M","26-35","0","C","2","1",249947
"5187","F","26-35","0","B","3","1",283367
"2036","F","46-50","3","C","2","0",216756
"3057","F","26-35","6","B","4+","0",3246000
"641","M","36-45","14","A","1","0",1115743
"4117","M","26-35","20","B","1","1",1314015
"4222","M","55+","1","C","1","1",905066
"1550","M","18-25","17","C","1","0",1436786
"2894","F","26-35","1","A","4+","0",149471
"4084","M","26-35","17","B","1","1",1226787
"3349","F","55+","13","C","4+","0",616252
"2216","F","18-25","14","C","2","0",684768
"3683","M","46-50","14","C","0","1",385971
"2897","M","26-35","1","A","4+","0",206876
"849","F","36-45","6","B","1","0",2074851
"4004","M","26-35","7","B","1","1",1874845
"509","F","26-35","2","A","1","0",315032
"3284","M","26-35","7","C","4+","0",903800
"1182","F","36-45","3","C","1","0",163709
"4743","M","18-25","4","B","2","1",374610
"3139","M","36-45","20","B","4+","0",1226470
"3054","F","18-25","5","B","4+","0",215548
"4984","M","36-45","7","C","2","1",375016
"3636","M","55+","6","C","0","1",147778
"787","M","18-25","4","B","1","0",512132
"4699","F","26-35","0","B","2","1",1133884
"4676","M","36-45","12","A","2","1",1537055
"1353","M","36-45","8","C","1","0",69538
"3588","M","55+","0","C","0","1",260437
"2295","M","26-35","20","C","2","0",116394
"3019","M","26-35","2","B","4+","0",1670373
"2461","F","26-35","2","B","3","0",1639750
"2435","M","26-35","0","B","3","0",2079070
"446","M","46-50","17","C","0","0",203851
"4874","F","55+","0","C","2","1",190258
"465","M","26-35","20","C","0","0",545489
"689","M","18-25","0","B","1","0",124127
"2766","M","18-25","11","C","3","0",1844992
"5478","M","18-25","15","C","3","1",757883
"5851","M","51-55","16","C","4+","1",289367
"1207","F","18-25","4","C","1","0",367593
"1206","F","18-25","4","C","1","0",156584
"897","F","36-45","9","B","1","0",3513729
"4870","M","46-50","0","C","2","1",512612
"1397","M","0-17","10","C","1","0",359688
"2349","M","18-25","4","A","3","0",138091
"1427","F","26-35","12","C","1","0",137512
"4036","M","26-35","12","B","1","1",1446849
"4808","F","18-25","14","B","2","1",249718
"5464","M","26-35","14","C","3","1",427308
"1228","M","18-25","4","C","1","0",652164
"605","M","0-17","10","A","1","0",190836
"2827","F","26-35","17","C","3","0",545499
"495","M","26-35","1","A","1","0",1565562
"1876","F","51-55","7","B","2","0",148514
"850","F","36-45","6","B","1","0",1634169
"1536","M","36-45","16","C","1","0",365819
"86","M","26-35","20","A","0","0",730982
"2062","M","18-25","4","C","2","0",674989
